#      HRS          Re_FUV        RISO_FUV       mue_FUV          Re_NUV       RISO_NUV       mue_NUV         Re_g          RISO_g         mue_g           Re_r          RISO_r        mue_r           Re_i          RISO_i         mue_i
         1            ...            ...           ...            11.5           31.3          23.99          11.2           27.6          21.11           11.0           28.4         20.43           11.0           27.4          20.11  
         2            9.9           27.8          22.94            9.6           30.5          22.43           8.9           22.0          20.34            8.8           22.0         19.83            8.7           21.7          19.60  
         3            ...            ...           ...             ...            ...           ...           32.7           94.4          21.19           30.8          100.6         20.32           30.7           98.0          19.89  
         4            ...            ...           ...             ...            ...           ...           51.2          143.9          21.02           49.7          143.6         20.32           49.3          140.1          19.91  
         5            ...            ...           ...             ...            ...           ...           28.2           58.9          21.62           26.3           60.5         20.60           24.9           60.2          20.02  
         6           49.2           81.8          25.89           47.9           99.1          25.34          41.1           66.3          22.49           39.4           68.9         21.83           42.6           65.0          21.63  
         7           21.2           27.0          26.28           29.1           64.6          25.11          30.0           93.8          20.28           29.1           95.2         19.56           29.6           93.0          19.20  
         8           81.1          142.9          25.25           78.5          143.5          24.87          55.0          117.6          21.67           48.2          115.4         20.81           45.1          110.8          20.33  
         9           22.8           46.6          24.60           23.4           63.9          23.98          25.5           77.9          20.74           28.6           83.7         20.30           27.6           78.7          19.88  
        10            ...            ...           ...             ...            ...           ...           10.9           27.6          20.83           10.1           26.3         20.30            9.9           24.9          20.07  
        11           30.8           73.4          24.04           30.3           77.7          23.55          33.7           72.1          21.44           34.1           73.6         20.96           34.5           71.3          20.71  
        12            7.5           25.3          22.83            7.2           30.9          22.40           8.6           22.2          20.96            8.9           22.6         20.61            9.6           21.6          20.53  
        13           47.9          103.6          24.25           45.3          112.2          23.54          46.7          107.7          21.10           45.0          108.8         20.43           43.9          104.6          20.07  
        14            ...            ...           ...            28.2           70.2          24.84          26.0           84.0          20.09           26.8           87.2         19.49           27.1           86.4          19.11  
        15           98.8          232.6          25.30           88.0          221.8          24.72          64.8          144.6          21.82           58.4          134.1         21.07           55.5          125.8          20.65  
        16           49.6           88.6          25.06           46.2           87.9          24.55          43.3           79.4          22.13           41.9           79.1         21.57           41.6           77.1          21.27  
        17           47.5          111.3          24.31           42.7          106.2          23.76          30.4           80.4          21.01           27.4           78.4         20.32           26.1           73.8          19.96  
        18           15.2           45.0          24.19           14.7           45.2          23.62          15.4           45.3          20.88           15.1           46.9         20.22           15.4           45.9          19.90  
        19           20.9           66.9          23.58           20.6           67.7          23.17          23.5           53.8          21.55           23.3           53.2         21.11           23.7           49.9          20.91  
        20           24.7           94.3          22.13           24.8          100.6          21.81          23.3           69.3          20.38           22.6           67.4         20.04           22.7           63.7          19.93  
        21            ...            ...           ...            24.2           52.2          25.39          23.8           46.8          22.11           23.1           48.1         21.39           22.9           46.6          20.99  
        22            ...            ...           ...            34.8           64.4          25.59          37.6           99.4          20.92           38.0          106.4         20.22           37.6          103.6          19.81  
        23           39.8           90.2          24.89           39.5          104.6          24.37          35.0           87.2          21.09           33.2           88.8         20.28           32.5           87.2          19.86  
        24           59.8          140.4          24.51           54.0          141.7          23.91          43.0          104.4          21.32           39.6           98.5         20.63           38.0           91.1          20.28  
        25           30.8          112.8          23.53           29.1           98.2          22.86          26.5           71.7          20.34           24.4           70.7         19.61           23.9           70.0          19.24  
        26           12.9           37.9          23.83           13.2           43.9          23.49          15.6           37.9          21.25           16.3           39.7         20.78           16.9           38.3          20.55  
        27            7.0           41.4          21.49            6.9           41.9          21.11           7.2           21.6          19.69            7.2           21.0         19.35            7.4           20.4          19.24  
        28           23.8           60.4          23.65           23.6           64.9          23.26          22.0           49.9          21.11           21.2           49.8         20.54           21.0           48.3          20.29  
        29           31.8           63.8          24.81           31.8           87.5          24.26          35.0           73.8          21.63           34.2           75.9         20.98           34.0           73.6          20.65  
        30           31.1           99.7          23.90           30.1          107.4          23.38          26.7           65.9          21.31           25.6           61.2         20.84           25.1           54.4          20.60  
        31           36.5          124.7          23.19           36.6          140.5          22.74          35.7           89.2          20.77           35.7           87.2         20.39           33.6           81.5          20.15  
        32           10.3           10.9          26.89           11.7           27.3          24.89          10.4           31.4          20.08           11.1           32.9         19.62           11.3           32.8          19.28  
        33           36.0           90.1          24.56           33.8           91.3          24.09          30.2           62.4          21.69           28.7           61.5         21.07           27.8           58.1          20.74  
        34           58.5          111.5          25.64           68.7          165.1          25.12          49.0          100.7          21.69           45.4          101.8         20.87           43.8          100.5          20.38  
        35            ...            ...           ...             ...            ...           ...            8.2           24.8          20.26            7.8           25.7         19.38            7.7           25.7          18.91  
        36           23.4           81.7          23.26           19.8           79.5          22.31          25.8           78.1          20.48           24.3           79.5         19.74           25.0           78.6          19.49  
        37           21.6           56.9          23.66           20.2           57.8          23.18          18.7           46.3          21.01           17.7           46.1         20.34           17.4           44.8          20.00  
