#      HRS         e              PA       FUV_asy       eFUV_asy     FUV_D25       eFUV_D25     NUV_asy       eNUV_asy     NUV_D25       eNUV_D25     g_asy         eg_asy       g_D25         eg_D25       r_asy         er_asy       r_D25         er_D25       i_asy         ei_asy       i_D25         ei_D25         log(M*)
         1         0.60           -5        ...          ...           ...          ...          17.680        0.031        17.759        0.034        14.870        0.030        14.944        0.032        14.233        0.021        14.307        0.023        13.899        0.031        13.995        0.032           8.72   
         2         0.28           35       16.322        0.059        16.488        0.092        15.878        0.030        16.034        0.071        13.951        0.030        14.083        0.066        13.480        0.020        13.612        0.060        13.259        0.030        13.407        0.064           8.77   
         3         0.17           17        ...          ...           ...          ...          ...           ...           ...          ...          11.821        0.036        11.975        0.036        11.078        0.022        11.220        0.022        10.661        0.031        10.809        0.032          10.21   
         4         0.48          -33        ...          ...           ...          ...          ...           ...           ...          ...          11.189        0.034        11.256        0.036        10.552        0.021        10.599        0.022        10.162        0.031        10.214        0.031          10.26   
         5         0.76           29        ...          ...           ...          ...          ...           ...           ...          ...          13.920        0.034        14.040        0.033        13.057        0.023        13.164        0.022        12.590        0.032        12.674        0.032           9.62   
         6         0.85          -30       17.499        0.052        17.628        0.055        17.005        0.032        17.114        0.034        14.489        0.032        14.632        0.034        13.923        0.029        14.046        0.026        13.545        0.038        13.742        0.042           8.94   
         7         0.40           -3       18.205        0.058        18.254        0.078        16.347        0.037        16.423        0.039        11.446        0.034        11.597        0.031        10.800        0.021        10.912        0.021        10.406        0.030        10.510        0.030          10.29   
         8         0.64           44       14.818        0.050        14.837        0.052        14.514        0.030        14.530        0.030        12.086        0.030        12.100        0.031        11.510        0.021        11.520        0.023        11.172        0.030        11.183        0.032           9.88   
         9         0.28           36       16.173        0.050        16.239        0.052        15.495        0.031        15.640        0.031        12.064        0.032        12.400        0.032        11.373        0.026        11.767        0.023        11.037        0.037        11.406        0.033          10.08   
        10         0.30           32        ...          ...           ...          ...          ...           ...           ...          ...          14.049        0.030        14.099        0.034        13.673        0.020        13.712        0.023        13.470        0.030        13.532        0.033           8.71   
        11         0.53           20       15.420        0.053        15.481        0.056        14.962        0.030        15.018        0.031        12.631        0.031        12.798        0.033        12.123        0.022        12.311        0.024        11.850        0.032        12.045        0.034           9.45   
        12         0.34           30       16.928        0.132        17.056        0.063        16.589        0.031        16.706        0.036        14.743        0.030        14.922        0.048        14.326        0.021        14.526        0.047        14.088        0.032        14.341        0.055           8.47   
        13         0.54          -64       14.692        0.052        14.723        0.053        14.104        0.030        14.123        0.030        11.600        0.031        11.664        0.031        11.016        0.020        11.074        0.021        10.710        0.032        10.760        0.034          10.17   
        14         0.60           52        ...          ...           ...          ...          16.589        0.031        16.626        0.035        12.011        0.030        12.041        0.031        11.345        0.020        11.378        0.020        10.945        0.031        10.977        0.031          10.12   
        15         0.43          -74       13.942        0.054        14.105        0.052        13.610        0.030        13.723        0.031        11.372        0.031        11.436        0.032        10.852        0.022        10.905        0.022        10.545        0.035        10.594        0.034          10.00   
        16         0.11          -43       14.713        0.052        14.799        0.053        14.356        0.030        14.394        0.031        12.079        0.030        12.151        0.032        11.591        0.021        11.657        0.023        11.311        0.031        11.383        0.034           9.61   
        17         0.47          -37       14.619        0.050        14.698        0.053        14.304        0.030        14.350        0.032        12.288        0.031        12.311        0.032        11.822        0.020        11.842        0.022        11.570        0.030        11.596        0.031           9.46   
        18         0.05           61       16.343        0.082        16.371        0.064        15.839        0.030        15.887        0.031        13.011        0.031        13.065        0.032        12.384        0.022        12.432        0.022        12.014        0.033        12.072        0.036           9.77   
        19         0.07           38       15.058        0.052        15.114        0.052        14.655        0.030        14.695        0.031        12.777        0.030        12.849        0.031        12.358        0.022        12.438        0.022        12.123        0.033        12.201        0.035           9.39   
        20         0.52           34       13.974        0.050        14.004        0.050        13.638        0.030        13.671        0.030        12.344        0.030        12.376        0.030        12.071        0.020        12.107        0.021        11.958        0.030        11.996        0.031           9.17   
        21         0.78            0        ...          ...           ...          ...          18.117        0.032        18.298        0.043        14.876        0.031        15.056        0.035        14.222        0.026        14.394        0.028        13.838        0.034        14.025        0.037           8.82   
        22         0.26           15        ...          ...           ...          ...          16.212        0.033        16.301        0.036        11.378        0.033        11.597        0.031        10.651        0.031        10.871        0.021        10.270        0.035        10.474        0.032          10.48   
        23         0.74          -71       16.361        0.050        16.496        0.052        15.855        0.030        15.989        0.031        12.833        0.032        12.932        0.032        12.144        0.020        12.234        0.021        11.761        0.030        11.856        0.031           9.90   
        24         0.50           27       14.384        0.050        14.449        0.051        14.007        0.030        14.055        0.031        11.907        0.030        11.936        0.032        11.400        0.021        11.423        0.023        11.138        0.030        11.161        0.032           9.88   
        25         0.62          -60       15.147        0.051        15.212        0.055        14.595        0.030        14.647        0.030        12.278        0.030        12.307        0.030        11.727        0.020        11.752        0.020        11.410        0.032        11.438        0.033           9.69   
