# HRS   CGCG      VCC   UGC    NGC    IC     R.A.           Dec.           Type   D_25    E(B-V)   Dist.   Tile-Name_NUV                texp_NUV    Tile-Name_FUV                texp_FUV    NOTE
  1     123-035   ...   ...    ...    ...    10:17:39.66    +22:48:35.9    13     1.0     0.0311   16.79   GI6_012001_HRS1              1385.7      ...                          ...         N  
  2     124-004   ...   5588   ...    ...    10:20:57.13    +25:21:53.4    5      0.52    0.023    18.44   GI6_012002_HRS2              1669.1      AIS_213                      201.0       ...
  3     94-026    ...   5617   3226   ...    10:23:27.01    +19:53:54.7    0      3.16    0.0226   16.7    ...                          ...         ...                          ...         S  
  4     94-028    ...   5620   3227   ...    10:23:30.58    +19:51:54.2    3      5.37    0.0226   16.4    ...                          ...         ...                          ...         S  
  5     94-052    ...   ...    ...    610    10:26:28.37    +20:13:41.5    7      1.86    0.0203   16.71   ...                          ...         ...                          ...         S  
  6     154-016   ...   5662   ...    ...    10:27:01.16    +28:38:21.9    5      3.31    0.0267   18.89   GI3_079013_NGC3245           1622.15     GI3_079013_NGC3245           1622.15     ...
  7     154-017   ...   5663   3245   ...    10:27:18.39    +28:30:26.6    1      3.24    0.0247   18.77   GI3_079013_NGC3245           1622.15     GI3_079013_NGC3245           1622.15     ...
  8     154-020   ...   5685   3254   ...    10:29:19.92    +29:29:29.2    6      5.01    0.0201   19.37   GI6_012003_HRS8              1682.1      AIS_213                      222.0       ...
  9     154-026   ...   5731   3277   ...    10:32:55.45    +28:30:42.2    4      1.95    0.0266   20.21   NGA_NGC3265                  1547.25     NGA_NGC3265                  1547.25     ...
  10    183-028   ...   5738   ...    ...    10:34:29.82    +35:15:24.4    5      0.91    0.0271   21.66   ...                          ...         ...                          ...         S  
  11    124-038   ...   5742   3287   ...    10:34:47.31    +21:38:54.0    9      2.09    0.023    18.93   GI6_012006_HRS11_14          1686.1      AIS_333                      109.0       ...
  12    124-041   ...   ...    ...    ...    10:35:42.07    +26:07:33.7    17     0.59    0.023    19.89   GI6_012004_HRS12             1267.2      AIS_482                      189.05      ...
  13    183-030   ...   5753   3294   ...    10:36:16.25    +37:19:28.9    7      3.55    0.0195   22.47   MISGCSN1_01817_0091          1664.1      AIS_90                       109.0       ...
  14    124-045   ...   5767   3301   ...    10:36:56.04    +21:52:55.7    2      3.55    0.023    19.16   GI6_012006_HRS11_14          1686.1      ...                          ...         F  
  15    65-087    ...   5826   3338   ...    10:42:07.54    +13:44:49.2    7      5.89    0.0312   18.57   AIS_312                      326.0       AIS_312                      106.0       ...
  16    94-116    ...   5842   3346   ...    10:43:38.91    +14:52:18.7    8      2.69    0.0274   18.0    GI6_012007_HRS16             1682.15     AIS_312                      108.0       ...
  17    95-019    ...   5887   3370   ...    10:47:04.05    +17:16:25.3    7      3.16    0.0308   18.3    AIS_333                      109.0       AIS_333                      109.0       ...
  18    155-015   ...   5906   3380   ...    10:48:12.17    +28:36:06.5    3      1.7     0.0248   22.91   GI6_012009_HRS18             1706.0      AIS_482                      92.0        ...
  19    184-016   ...   5909   3381   ...    10:48:24.82    +34:42:41.1    13     2.04    0.0204   23.29   GI6_012010_HRS19             1682.4      AIS_90                       204.0       ...
