ID, RA, DEC, RADIUS_ARCSEC, PIXEL_SIZE_ARCSEC
WA_J000013.30+330803.00,   0.055417,  33.134167,  87.3,  1.5
WA_J000250.21+312905.60,   0.709208,  31.484889,  89.0,  1.5
WA_J020011.19+373612.10,  30.046625,  37.603361, 109.2,  1.8
WA_J020126.54+284403.50,  30.360583,  28.734306,  85.5,  1.4
WA_J020344.83+381531.40,  30.936792,  38.258722,  75.8,  1.3
WA_J021612.79+323858.20,  34.053292,  32.649500,  91.6,  1.5
WA_J021851.25+334327.70,  34.713542,  33.724361,  87.4,  1.5
WA_J021952.72+290210.50,  34.969667,  29.036250,  88.1,  1.5
WA_J022113.40+424545.70,  35.305833,  42.762694, 787.1, 13.1
WA_J022205.07+335642.50,  35.521125,  33.945139,  87.9,  1.5
WA_J022240.47+282755.40,  35.668625,  28.465389,  45.8,  0.8
WA_J022434.11+331006.70,  36.142125,  33.168528,  99.8,  1.7
WA_J022453.25+431930.40,  36.221875,  43.325111,  83.2,  1.4
WA_J022516.26+420523.60,  36.317750,  42.089889,  96.4,  1.6
WA_J022600.49+392815.30,  36.502042,  39.470917,  90.7,  1.5
WA_J022605.18+420838.70,  36.521583,  42.144083,  79.2,  1.3
WA_J022646.33+415004.20,  36.693042,  41.834500,  76.9,  1.3
WA_J023222.68+421155.30,  38.094500,  42.198694, 101.0,  1.7
WA_J023342.96+403141.22,  38.428991,  40.528116, 871.0, 14.5
WA_J023425.80+325716.18,  38.607510,  32.954494,  97.6,  1.6
WA_J023436.83+345210.00,  38.653458,  34.869444, 117.6,  2.0
WA_J023503.19+412126.50,  38.763292,  41.357361,  92.4,  1.5
WA_J023524.87+405211.00,  38.853625,  40.869722,  76.5,  1.3
WA_J023623.67+314237.65,  39.098608,  31.710459,  89.3,  1.5
WA_J023632.10+313551.20,  39.133750,  31.597556,  90.1,  1.5
WA_J023836.98+320410.87,  39.654084,  32.069685,  84.7,  1.4
WA_J023914.91+300905.01,  39.812139,  30.151393, 479.8,  8.0
WA_J024019.19+321544.10,  40.079958,  32.262250,  98.1,  1.6
WA_J024210.84+432118.70,  40.545167,  43.355194, 905.8, 15.1
WA_J024233.50+351208.40,  40.639583,  35.202333, 124.8,  2.1
WA_J024235.59+344548.60,  40.648292,  34.763500, 113.4,  1.9
WA_J024326.66+412424.40,  40.861083,  41.406778,  80.3,  1.3
WA_J024341.67+420117.20,  40.923625,  42.021444,  74.6,  1.2
WA_J024354.88+331006.40,  40.978667,  33.168444,  80.0,  1.3
WA_J024553.36+424446.70,  41.472333,  42.746306,  74.0,  1.2
WA_J024816.15+342511.20,  42.067292,  34.419778,  83.3,  1.4
WA_J025416.55+424333.30,  43.568958,  42.725917,  69.6,  1.2
WA_J025716.77+444624.30,  44.319875,  44.773417,  45.6,  0.8
WA_J025803.38+351527.70,  44.514083,  35.257694,  90.6,  1.5
WA_J030046.52+430945.20,  45.193833,  43.162556, 169.6,  2.8
WA_J030113.25+445719.50,  45.305208,  44.955417, 177.0,  2.9
WA_J030159.85+423505.84,  45.499378,  42.584955, 105.6,  1.8
WA_J030555.09+413531.30,  46.479542,  41.592028,  69.8,  1.2
WA_J030738.15+391613.90,  46.908958,  39.270528,  52.1,  0.9
WA_J030917.31+383858.00,  47.322125,  38.649444, 129.6,  2.2
